Date,Valeur_des_transactions,Capitalisation_Actions,Capitalisation_Obligations,BRVM_10,BRVM_Composite,Taux_BRVM_10,BRVM_PRESTIGE
15/05/2025 - 20:15,1286566055,11618385758082,10556346943533,"151,80","301,29","0,38%","124,38"
14/05/2025 - 20:15,1340382779,11583475836777,10567573737783,"151,22","300,38","0,62%","124,52"
13/05/2025 - 21:15,1373586057,11497954409497,10584216752783,"150,29","298,17","0,82%","123,37"
12/05/2025 - 20:30,745106563,11432218964495,10595510104883,"149,07","296,46","0,34%","121,75"
09/05/2025 - 21:15,913972709,11399085018702,10596287881683,"148,56","295,60","0,29%","121,71"
08/05/2025 - 20:30,1584471900,11376507648307,10597065658483,"148,13","295,02","0,75 %","121,41"
07/05/2025 - 20:15,3399936481,11281008354452,10491824440083,"147,02","292,54","0,50%","120,63"
06/05/2025 - 20:15,752494546,11231810119007,10491813190083,"146,29","291,26","0,05%","121,27"
05/05/2025 - 21:30,1795627435,11206760502497,10503345341597,"146,21","290,62","1,16%","121,60"
02/05/2025 - 21:30,483411376,11096318824775,10496647799877,"144,54","287,75","-0,53%","120,89"
30/04/2025 - 21:14,1015671340,11164577807812,10495883157897,"145,31","289,52","0,85%","121,69"
29/04/2025 - 20:14,507771978,11069981764967,10495774824637,"144,09","287,07","-0,15%","121,24"
28/04/2025 - 21:15,1254191176,11094822205370,10498587788897,"144,30","287,71","0,79%","121,86"
25/04/2025 - 21:14,819972866,11023887426212,10486860951397,"143,17","285,87","-0,79%","120,67"
24/04/2025 - 20:15,624221643,10774684477677,10492350951397,"144,31","287,27","-0,15%","121,33"
23/04/2025 - 20:15,935919794,10711855648720,10523695463597,"143,46","285,60","-0,19 %","121,13"
23/04/2025 - 20:15,409576038,10797476713672,10498071819197,"144,53","287,88","0,75%","121,66"
21/04/2025 - 20:35,2933510342,10724465487065,10523706713597,"143,74","285,94","1,73 %","121,33"
18/04/2025 - 20:15,426963730,10558981636410,10433930096097,"141,29","281,52","-2,73%","119,52"
17/04/2025 - 20:15,575095880,10823128454440,10434911160337,"145,26","288,57","0,89%","122,42"
16/04/2025 - 21:00,738932352,10719886262713,10454503541637,"143,98","285,81","-0,32 %","121,75"
15/04/2025 - 20:30,468013000,10748902165035,10457662235237,"144,44","286,59","-0,15%","121,80"
14/04/2025 - 20:45,975500751,10771456509240,10458759839437,"144,66","287,19","-1,39 %","122,03"
11/04/2025 - 17:45,825137699,10906711804273,10464034911557,"146,70","290,79","0,80%","123,48"
10/04/2025 - 22:15,1249472828,10846575552010,10463277884757,"145,53","289,19","1,62%","122,18"
09/04/2025 - 21:15,1304569081,10685405407585,10463277884757,"143,21","284,89","-1,10%","120,47"
08/04/2025 - 20:30,723590 958,10792983590350,10487023254257,"144,81","287,76","-0,13 %","121,30"
07/04/2025 - 20:30,501063058,10799592113680,10490405402257,"145,00","287,94","-0,32%","121,16"
04/04/2025 - 20:30,506153190,10829125019160,10490405402257,"145,47","288,73","0,39%","121,76"
03/04/2025 - 21:25,491883565,10792539898685,10490996027257,"144,91","287,75","-0,09%","121,93"
02/04/2025 - 21:15,1622601572,10799249294800,10490996027257,"145,04","287,93","0,11%","121,90"
28/03/2025 - 20:45,608525387,10802662358610,10487573167737,"144,88","288,02","0,24%","122,36"
27/03/2025 - 21:03,1711675365,10780408435897,10523146642317,"144,53","287,43","0,66%","121,88"
26/03/2025 - 20:35,572704773,10705524804712,10544069681917,"143,58","285,43","0,55%","121,24"
25/03/2025 - 22:15,1533524568,10650938381642,10554567016359,"142,80","283,97","-0,10 %","120,92"
24/03/2025 - 20:58,932932823,10669775352345,10508132315859,"142,95","284,48","+0,49 %","284,48"
17/03/2025 - 20:30,1 161 756 255,10 954 903 030 247,10 533 712 655 690,"146,93","292,08","+0,02 %","123,45"
14/03/2025 - 21:54,921 805 798,10 948 857 884 537,10 535 768 183 290,"146,90","291,92","+0,42 %","123,14"
13/03/2025 - 22:35,1 710 333 326,10 910 993 735 992,10 552 526 510 030,"146,29","290,91","-0,39 %","123,23"
12/03/2025 - 21:30,604 978 261,10 945 993 327 112,10 550 951 881 030,"146,87","291,84","-0,01 %","122,79"
11/03/2025 - 21:33,1 345 179 462,10 946 176 711 152,10 548 959 079 625,"146,88","291,85","-0,24%","122,79"
10/03/2025 - 21:33,1 534 468 216,10 969 505639672,10550843547770,"147,24","292,47","-0,26%","123,38"
07/03/2025 - 19:33,1 196 811 055,10 994 646 880 320,10 580 477 299 059,"147,63","293,14","+0,20 %","123,89"
05/03/2025 - 21:33,473 317 585,10 936 540 752 722,10 578 477 299 059,"146,80","291,59","+0,46 %","123,75"
28/02/2025 - 21:33,681 133 963,10970355980742,10616352370929,"147,33","292,49","+0,45%","124,29"
26/02/2025 - 21:33,783 801 579,10 894 424 736 492,10 616 972 876 249,"146,41","290,47","+0,34 %","123,61"
25/02/2025 - 22:33,570 628 148,10 862 134 801 572,10 620 240 090 649,"145,92","289,61","-1,14 %","122,56"
24/02/2025 - 22:24,2 423 889 238,11 018 835 124 127,10 596 502 126 199,"148,15","293,78","+0,89 %","124,60"
24/02/2025 - 22:23,719006925,10 980 639 150 422,10 597 440 090 649,147.61,292.77,-0.36 %,123.66
20/02/2025 - 21:33,653 047 081,10 922 745 795 907,10 585 037 768 179,"146,84","291,22","+1,25 %","124,12"
19/02/2025 - 19:33,1 500 830 555,10 792 345 892 810,10 585 037 768 179,"145,02","287,74","+0,68 %","123,01"
18/02/2025 - 21:33,3 149 403 821,10 724 204 679 662,10 586 896 968 179,"144,04","285,93","+0,45 %","121,94"
17/02/2025 - 20:33,382 097 499,10 678 909 060 917,10 518 771 859 359,"143,39","284,72","+0,27 %","120,86"
14/02/2025 - 19:23,761 231 240,10651615708420,10532282908655,"143,01","283,99","+0,43%","120,13"
13/02/2025 - 19:33,664 359 274,10 601 299 230 670,10 532 570 758 455,"142,40","282,65","-0,25 %","118,07"
12/02/2025 - 19:33,602 950 428,10 627 744 099 672,10 537 035 872 655,"142,75","283,36","+0,94 %","119,10"
11/02/2025 - 18:33,478 243 881,10532289836382,10537511558005,"141,42","280,81","-0,16%","118,57"
10/02/2025 - 21:21,645 343 611,10 551 905 798 445,10 533 811 558 005,"141,65","281,33","-0,67 %","118,66"
07/02/2025 - 19:28,345 198 911,10 617 021 076 840,10 535 125 984 005,"142,61","283,07","+0,33 %","119,62"
06/02/2025 - 21:43,471 146 695,10 578 157 012 395,10 530 154 165 005,"142,14","282,03","+0,74 %","118,52"
